# name	type	tags	description_or_title	npm_deps	payload_file
comp-156	component	radio,label,collapsible,radix	radio/label/collapsible — variant 156		vendor/origin/r/comp-156.json
comp-157	component	radio,label,rating,radix	radio/label/rating — variant 157	@remixicon/react	vendor/origin/r/comp-157.json
comp-158	component	radio,label,color,picker,radix	radio/label/color — variant 158		vendor/origin/r/comp-158.json
comp-159	component	radio,label,card,radix	radio/label/card — variant 159		vendor/origin/r/comp-159.json
comp-160	component	radio,label,card,radix	radio/label/card — variant 160		vendor/origin/r/comp-160.json
comp-161	component	radio,label,card,radix	radio/label/card — variant 161		vendor/origin/r/comp-161.json
comp-162	component	radio,label,card,radix	radio/label/card — variant 162		vendor/origin/r/comp-162.json
comp-163	component	radio,label,card,checkout,payment,radix	radio/label/card — variant 163	@remixicon/react	vendor/origin/r/comp-163.json
comp-164	component	radio,label,card,pricing,radix	radio/label/card — variant 164		vendor/origin/r/comp-164.json
comp-165	component	radio,label,card,radix	radio/label/card — variant 165		vendor/origin/r/comp-165.json
comp-166	component	radio,label,pricing,radix	radio/label/pricing — variant 166		vendor/origin/r/comp-166.json
comp-167	component	radio,label,rating,vote,radix	radio/label/rating — variant 167		vendor/origin/r/comp-167.json
comp-168	component	radio,label,rating,vote,radix	radio/label/rating — variant 168		vendor/origin/r/comp-168.json
comp-169	component	radio,label,darkmode,radix	radio/label/darkmode — variant 169		vendor/origin/r/comp-169.json
comp-170	component	radio,label,pricing,switch,radix	radio/label/pricing — variant 170		vendor/origin/r/comp-170.json
comp-171	component	radio,label,rating,vote,radix	radio/label/rating — variant 171	@remixicon/react	vendor/origin/r/comp-171.json
comp-172	component	switch,radix	switch/radix — variant 172		vendor/origin/r/comp-172.json
comp-173	component	switch,radix	switch/radix — variant 173		vendor/origin/r/comp-173.json
comp-174	component	switch,radix	switch/radix — variant 174		vendor/origin/r/comp-174.json
comp-175	component	switch,radix	switch/radix — variant 175		vendor/origin/r/comp-175.json
comp-176	component	switch,radix	switch/radix — variant 176		vendor/origin/r/comp-176.json
comp-177	component	switch,radix	switch/radix — variant 177		vendor/origin/r/comp-177.json
comp-178	component	switch,radix	switch/radix — variant 178		vendor/origin/r/comp-178.json
comp-179	component	switch,label,radix	switch/label/radix — variant 179		vendor/origin/r/comp-179.json
comp-180	component	switch,label,radix	switch/label/radix — variant 180		vendor/origin/r/comp-180.json
comp-181	component	switch,label,darkmode,radix	switch/label/darkmode — variant 181		vendor/origin/r/comp-181.json
comp-182	component	switch,label,darkmode,radix	switch/label/darkmode — variant 182		vendor/origin/r/comp-182.json
comp-183	component	switch,label,darkmode,radix	switch/label/darkmode — variant 183		vendor/origin/r/comp-183.json
comp-184	component	switch,label,darkmode,radix	switch/label/darkmode — variant 184		vendor/origin/r/comp-184.json
comp-185	component	switch,label,radix	switch/label/radix — variant 185		vendor/origin/r/comp-185.json
comp-186	component	switch,label,card,radix	switch/label/card — variant 186		vendor/origin/r/comp-186.json
comp-187	component	switch,label,card,radix	switch/label/card — variant 187		vendor/origin/r/comp-187.json
comp-188	component	switch,label,card,radix	switch/label/card — variant 188		vendor/origin/r/comp-188.json
comp-189	component	label,select,native select	label/select/native select — variant 189		vendor/origin/r/comp-189.json
comp-190	component	label,select,native select	label/select/native select — variant 190		vendor/origin/r/comp-190.json
comp-191	component	label,select,native select,time	label/select/native select — variant 191		vendor/origin/r/comp-191.json
comp-192	component	label,select,native select	label/select/native select — variant 192		vendor/origin/r/comp-192.json
comp-193	component	label,select,native select	label/select/native select — variant 193		vendor/origin/r/comp-193.json
comp-194	component	label,select,native select,error	label/select/native select — variant 194		vendor/origin/r/comp-194.json
comp-195	component	label,select,native select	label/select/native select — variant 195		vendor/origin/r/comp-195.json
comp-196	component	label,select,native select,disabled	label/select/native select — variant 196		vendor/origin/r/comp-196.json
comp-197	component	label,select,native select	label/select/native select — variant 197		vendor/origin/r/comp-197.json
comp-198	component	label,select,native select	label/select/native select — variant 198		vendor/origin/r/comp-198.json
comp-199	component	label,select,native select	label/select/native select — variant 199		vendor/origin/r/comp-199.json
comp-200	component	label,select,native select,timezone,time	label/select/native select — variant 200		vendor/origin/r/comp-200.json
comp-201	component	label,select,native select	label/select/native select — variant 201		vendor/origin/r/comp-201.json
comp-202	component	label,select,native select	label/select/native select — variant 202		vendor/origin/r/comp-202.json
comp-203	component	label,select,radix	label/select/radix — variant 203		vendor/origin/r/comp-203.json
comp-204	component	label,select,radix	label/select/radix — variant 204		vendor/origin/r/comp-204.json
comp-205	component	label,select,radix	label/select/radix — variant 205		vendor/origin/r/comp-205.json
comp-206	component	label,select,helper,radix	label/select/helper — variant 206		vendor/origin/r/comp-206.json
comp-207	component	label,select,radix	label/select/radix — variant 207		vendor/origin/r/comp-207.json
comp-208	component	label,select,radix	label/select/radix — variant 208		vendor/origin/r/comp-208.json
comp-209	component	label,select,radix	label/select/radix — variant 209		vendor/origin/r/comp-209.json
comp-210	component	label,select,disabled,radix	label/select/disabled — variant 210		vendor/origin/r/comp-210.json
comp-211	component	label,select,required,radix	label/select/required — variant 211		vendor/origin/r/comp-211.json
comp-212	component	label,select,radix	label/select/radix — variant 212		vendor/origin/r/comp-212.json
comp-213	component	label,select,radix	label/select/radix — variant 213		vendor/origin/r/comp-213.json
comp-214	component	label,select,radix	label/select/radix — variant 214		vendor/origin/r/comp-214.json
comp-215	component	label,select,disabled,radix	label/select/disabled — variant 215		vendor/origin/r/comp-215.json
comp-216	component	label,select,radix	label/select/radix — variant 216		vendor/origin/r/comp-216.json
comp-217	component	label,select,radix	label/select/radix — variant 217		vendor/origin/r/comp-217.json
comp-218	component	label,select,timezone,time,radix	label/select/timezone — variant 218		vendor/origin/r/comp-218.json
comp-219	component	label,select,radix	label/select/radix — variant 219		vendor/origin/r/comp-219.json
comp-220	component	label,select,status,radix	label/select/status — variant 220		vendor/origin/r/comp-220.json
comp-221	component	label,select,radix	label/select/radix — variant 221		vendor/origin/r/comp-221.json
comp-222	component	label,select,radix	label/select/radix — variant 222	@remixicon/react	vendor/origin/r/comp-222.json
comp-223	component	label,select,radix	label/select/radix — variant 223	@remixicon/react	vendor/origin/r/comp-223.json
comp-224	component	label,select,radix	label/select/radix — variant 224		vendor/origin/r/comp-224.json
comp-225	component	label,select,flag,radix	label/select/flag — variant 225		vendor/origin/r/comp-225.json
comp-226	component	label,select,user,avatar,profile,radix	label/select/user — variant 226		vendor/origin/r/comp-226.json
